case_id,legal_domain,case_type
CASE-002287,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002288,Property & Land,Property / Partition Suit
CASE-002289,Consumer Protection,Deficiency in Service Complaint
CASE-002290,Environmental Law,Environmental Clearance Challenge
CASE-002291,Consumer Protection,Deficiency in Service Complaint
CASE-002292,Consumer Protection,Deficiency in Service Complaint
CASE-002293,Human Rights & PIL,Public Interest Litigation
CASE-002294,Employment & Labour,Wrongful Termination
CASE-002295,Medical Negligence,Medical Negligence Complaint
CASE-002296,Arbitration,Arbitral Award Challenge
CASE-002297,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002298,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002299,Criminal Law,Criminal Trial
CASE-002300,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002301,Media & Defamation,Defamation Suit
CASE-002302,Media & Defamation,Defamation Suit
CASE-002303,Criminal Law,Criminal Trial
CASE-002304,Consumer Protection,Deficiency in Service Complaint
CASE-002305,Intellectual Property,Trademark Infringement
CASE-002306,Child Protection,POCSO / Child Protection Proceeding
CASE-002307,Administrative Law,Administrative Order Challenge
CASE-002308,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002309,Media & Defamation,Defamation Suit
CASE-002310,Divorce & Matrimonial,Divorce Petition
CASE-002311,Employment & Labour,Wrongful Termination
CASE-002312,Human Rights & PIL,Public Interest Litigation
CASE-002313,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002314,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002315,Education Law,Student Admission / Examination Dispute
CASE-002316,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002317,Property & Land,Property / Partition Suit
CASE-002318,Child Protection,POCSO / Child Protection Proceeding
CASE-002319,Environmental Law,Environmental Clearance Challenge
CASE-002320,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002321,Media & Defamation,Defamation Suit
CASE-002322,Environmental Law,Environmental Clearance Challenge
CASE-002323,Corporate & Commercial,Commercial Contract Dispute
CASE-002324,Media & Defamation,Defamation Suit
CASE-002325,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002326,Property & Land,Property / Partition Suit
CASE-002327,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002328,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002329,Human Rights & PIL,Public Interest Litigation
CASE-002330,Employment & Labour,Wrongful Termination
CASE-002331,Arbitration,Arbitral Award Challenge
CASE-002332,Corporate & Commercial,Commercial Contract Dispute
CASE-002333,Medical Negligence,Medical Negligence Complaint
CASE-002334,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002335,Divorce & Matrimonial,Divorce Petition
CASE-002336,Environmental Law,Environmental Clearance Challenge
CASE-002337,Criminal Law,Criminal Trial
CASE-002338,Criminal Law,Criminal Trial
CASE-002339,Human Rights & PIL,Public Interest Litigation
CASE-002340,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002341,Employment & Labour,Wrongful Termination
CASE-002342,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002343,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002344,Human Rights & PIL,Public Interest Litigation
CASE-002345,Criminal Law,Criminal Trial
CASE-002346,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002347,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002348,Consumer Protection,Deficiency in Service Complaint
CASE-002349,Media & Defamation,Defamation Suit
CASE-002350,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002351,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002352,Medical Negligence,Medical Negligence Complaint
CASE-002353,Child Protection,POCSO / Child Protection Proceeding
CASE-002354,White Collar Crime,Money Laundering / Corruption Case
CASE-002355,Tax & GST,GST / Tax Assessment Appeal
CASE-002356,White Collar Crime,Money Laundering / Corruption Case
CASE-002357,Criminal Law,Criminal Trial
CASE-002358,Arbitration,Arbitral Award Challenge
CASE-002359,Human Rights & PIL,Public Interest Litigation
CASE-002360,Corporate & Commercial,Commercial Contract Dispute
CASE-002361,Intellectual Property,Trademark Infringement
CASE-002362,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002363,Child Protection,POCSO / Child Protection Proceeding
CASE-002364,Media & Defamation,Defamation Suit
CASE-002365,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002366,Consumer Protection,Deficiency in Service Complaint
CASE-002367,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002368,Education Law,Student Admission / Examination Dispute
CASE-002369,Family & Succession,Inheritance / Probate
CASE-002370,Property & Land,Property / Partition Suit
CASE-002371,Medical Negligence,Medical Negligence Complaint
CASE-002372,Criminal Law,Criminal Trial
CASE-002373,Media & Defamation,Defamation Suit
CASE-002374,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002375,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002376,Administrative Law,Administrative Order Challenge
CASE-002377,Consumer Protection,Deficiency in Service Complaint
CASE-002378,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002379,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002380,Corporate & Commercial,Commercial Contract Dispute
CASE-002381,Medical Negligence,Medical Negligence Complaint
CASE-002382,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002383,Employment & Labour,Wrongful Termination
CASE-002384,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002385,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002386,White Collar Crime,Money Laundering / Corruption Case
CASE-002387,Medical Negligence,Medical Negligence Complaint
CASE-002388,Arbitration,Arbitral Award Challenge
CASE-002389,Administrative Law,Administrative Order Challenge
CASE-002390,Administrative Law,Administrative Order Challenge
CASE-002391,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002392,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002393,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002394,Education Law,Student Admission / Examination Dispute
CASE-002395,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002396,Education Law,Student Admission / Examination Dispute
CASE-002397,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002398,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002399,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002400,Divorce & Matrimonial,Divorce Petition
CASE-002401,Divorce & Matrimonial,Divorce Petition
CASE-002402,Tax & GST,GST / Tax Assessment Appeal
CASE-002403,Medical Negligence,Medical Negligence Complaint
CASE-002404,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002405,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002406,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002407,Employment & Labour,Wrongful Termination
CASE-002408,Education Law,Student Admission / Examination Dispute
CASE-002409,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002410,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002411,Tax & GST,GST / Tax Assessment Appeal
CASE-002412,Intellectual Property,Trademark Infringement
CASE-002413,Family & Succession,Inheritance / Probate
CASE-002414,Human Rights & PIL,Public Interest Litigation
CASE-002415,Human Rights & PIL,Public Interest Litigation
CASE-002416,Consumer Protection,Deficiency in Service Complaint
CASE-002417,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002418,Environmental Law,Environmental Clearance Challenge
CASE-002419,Corporate & Commercial,Commercial Contract Dispute
CASE-002420,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002421,Corporate & Commercial,Commercial Contract Dispute
CASE-002422,Employment & Labour,Wrongful Termination
CASE-002423,Child Protection,POCSO / Child Protection Proceeding
CASE-002424,Property & Land,Property / Partition Suit
CASE-002425,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002426,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002427,Employment & Labour,Wrongful Termination
CASE-002428,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002429,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002430,Environmental Law,Environmental Clearance Challenge
CASE-002431,Family & Succession,Inheritance / Probate
CASE-002432,Education Law,Student Admission / Examination Dispute
CASE-002433,Tax & GST,GST / Tax Assessment Appeal
CASE-002434,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002435,Consumer Protection,Deficiency in Service Complaint
CASE-002436,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002437,Constitutional Law,Writ / Fundamental Rights Petition
CASE-002438,Criminal Law,Criminal Trial
CASE-002439,Arbitration,Arbitral Award Challenge
CASE-002440,Human Rights & PIL,Public Interest Litigation
CASE-002441,Property & Land,Property / Partition Suit
CASE-002442,Administrative Law,Administrative Order Challenge
CASE-002443,Administrative Law,Administrative Order Challenge
CASE-002444,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002445,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002446,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002447,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002448,Environmental Law,Environmental Clearance Challenge
CASE-002449,Tax & GST,GST / Tax Assessment Appeal
CASE-002450,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002451,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002452,Education Law,Student Admission / Examination Dispute
CASE-002453,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002454,Education Law,Student Admission / Examination Dispute
CASE-002455,Human Rights & PIL,Public Interest Litigation
CASE-002456,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002457,Administrative Law,Administrative Order Challenge
CASE-002458,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002459,Employment & Labour,Wrongful Termination
CASE-002460,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002461,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002462,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002463,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002464,White Collar Crime,Money Laundering / Corruption Case
CASE-002465,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002466,Tax & GST,GST / Tax Assessment Appeal
CASE-002467,Employment & Labour,Wrongful Termination
CASE-002468,Environmental Law,Environmental Clearance Challenge
CASE-002469,Criminal Law,Criminal Trial
CASE-002470,Administrative Law,Administrative Order Challenge
CASE-002471,Arbitration,Arbitral Award Challenge
CASE-002472,Tax & GST,GST / Tax Assessment Appeal
CASE-002473,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002474,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002475,Arbitration,Arbitral Award Challenge
CASE-002476,Consumer Protection,Deficiency in Service Complaint
CASE-002477,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002478,Child Protection,POCSO / Child Protection Proceeding
CASE-002479,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002480,Environmental Law,Environmental Clearance Challenge
CASE-002481,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002482,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002483,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002484,Family & Succession,Inheritance / Probate
CASE-002485,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002486,Administrative Law,Administrative Order Challenge
CASE-002487,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002488,Divorce & Matrimonial,Divorce Petition
CASE-002489,Divorce & Matrimonial,Divorce Petition
CASE-002490,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002491,Arbitration,Arbitral Award Challenge
CASE-002492,Divorce & Matrimonial,Divorce Petition
CASE-002493,Administrative Law,Administrative Order Challenge
CASE-002494,White Collar Crime,Money Laundering / Corruption Case
CASE-002495,Intellectual Property,Trademark Infringement
CASE-002496,Child Protection,POCSO / Child Protection Proceeding
CASE-002497,Tax & GST,GST / Tax Assessment Appeal
CASE-002498,Property & Land,Property / Partition Suit
CASE-002499,Child Protection,POCSO / Child Protection Proceeding
CASE-002500,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002501,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002502,Family & Succession,Inheritance / Probate
CASE-002503,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002504,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002505,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002506,Administrative Law,Administrative Order Challenge
CASE-002507,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002508,Immigration & Citizenship,Citizenship / Passport Matter
CASE-002509,Media & Defamation,Defamation Suit
CASE-002510,Motor Accident Claims,Motor Accident Compensation Claim
CASE-002511,Cybercrime & IT,Online Fraud / Cybercrime
CASE-002512,Corporate & Commercial,Commercial Contract Dispute
CASE-002513,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002514,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002515,Arbitration,Arbitral Award Challenge
CASE-002516,Human Rights & PIL,Public Interest Litigation
CASE-002517,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002518,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002519,Intellectual Property,Trademark Infringement
CASE-002520,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002521,Employment & Labour,Wrongful Termination
CASE-002522,Tax & GST,GST / Tax Assessment Appeal
CASE-002523,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002524,Environmental Law,Environmental Clearance Challenge
CASE-002525,Tax & GST,GST / Tax Assessment Appeal
CASE-002526,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-002527,Media & Defamation,Defamation Suit
CASE-002528,Child Protection,POCSO / Child Protection Proceeding
CASE-002529,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002530,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-002531,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002532,Environmental Law,Environmental Clearance Challenge
CASE-002533,Child Protection,POCSO / Child Protection Proceeding
CASE-002534,Contract & Agreement,Breach of Contract / Specific Performance
CASE-002535,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-002536,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-002537,Child Protection,POCSO / Child Protection Proceeding
CASE-002538,Intellectual Property,Trademark Infringement
CASE-002539,Human Rights & PIL,Public Interest Litigation
